"num","per"
"1","1",0.3875
"2","2",0.5625
"3","3",0.3375
"4","4",0.3875
"5","5",0.35
"6","6",0.4125
"7","7",0.475
"8","8",0.4
"9","9",0.3625
"10","10",0.4375
"11","11",0.375
"12","12",0.375
"13","13",0.4125
"14","14",0.3875
"15","15",0.45
"16","16",0.4125
"17","17",0.45
"18","18",0.4125
"19","19",0.4
"20","20",0.4375
"21","21",0.4625
"22","22",0.5125
"23","23",0.425
"24","24",0.5125
"25","25",0.475
"26","26",0.4375
"27","27",0.3875
"28","28",0.5375
"29","29",0.45
"30","30",0.425
"31","31",0.425
"32","32",0.4
"33","33",0.425
"34","34",0.325
"35","35",0.4
"36","36",0.3625
"37","37",0.475
"38","38",0.5625
"39","39",0.4125
"40","40",0.5
"41","41",0.425
"42","42",0.425
"43","43",0.3375
"44","44",0.4625
"45","45",0.525
"46","46",0.45
"47","47",0.4125
"48","48",0.375
"49","49",0.4875
"50","50",0.35
"51","51",0.4125
"52","52",0.475
"53","53",0.45
"54","54",0.3875
"55","55",0.425
"56","56",0.55
"57","57",0.4125
"58","58",0.4
"59","59",0.575
"60","60",0.4125
"61","61",0.375
"62","62",0.35
"63","63",0.3125
"64","64",0.5625
"65","65",0.5125
"66","66",0.525
"67","67",0.4875
"68","68",0.425
"69","69",0.4375
"70","70",0.4875
"71","71",0.55
"72","72",0.375
"73","73",0.4125
"74","74",0.4875
"75","75",0.3125
"76","76",0.3875
"77","77",0.475
"78","78",0.4375
"79","79",0.4
"80","80",0.325
"81","81",0.425
"82","82",0.4375
"83","83",0.5375
"84","84",0.525
"85","85",0.4625
"86","86",0.55
"87","87",0.45
"88","88",0.475
"89","89",0.4125
"90","90",0.4625
"91","91",0.45
"92","92",0.4625
"93","93",0.4125
"94","94",0.5
"95","95",0.4125
"96","96",0.4375
"97","97",0.5375
"98","98",0.3125
"99","99",0.525
"100","100",0.5125
"101","101",0.525
"102","102",0.3375
"103","103",0.425
"104","104",0.4125
"105","105",0.4125
"106","106",0.4125
"107","107",0.5
"108","108",0.4
"109","109",0.45
"110","110",0.4125
"111","111",0.35
"112","112",0.45
"113","113",0.4
"114","114",0.475
"115","115",0.3875
"116","116",0.4625
"117","117",0.4375
"118","118",0.325
"119","119",0.5
"120","120",0.45
"121","121",0.5125
"122","122",0.4625
"123","123",0.4125
"124","124",0.525
"125","125",0.45
"126","126",0.4125
"127","127",0.475
"128","128",0.4875
"129","129",0.525
"130","130",0.3875
"131","131",0.4375
"132","132",0.4375
"133","133",0.4
"134","134",0.5125
"135","135",0.4125
"136","136",0.3625
"137","137",0.475
"138","138",0.45
"139","139",0.35
"140","140",0.4875
"141","141",0.4125
"142","142",0.525
"143","143",0.525
"144","144",0.3875
"145","145",0.35
"146","146",0.45
"147","147",0.5
"148","148",0.4125
"149","149",0.4625
"150","150",0.4375
"151","151",0.4625
"152","152",0.4375
"153","153",0.425
"154","154",0.5125
"155","155",0.4875
"156","156",0.3375
"157","157",0.575
"158","158",0.575
"159","159",0.5
"160","160",0.375
"161","161",0.4125
"162","162",0.4625
"163","163",0.4625
"164","164",0.4875
"165","165",0.4125
"166","166",0.45
"167","167",0.425
"168","168",0.475
"169","169",0.3625
"170","170",0.45
"171","171",0.425
"172","172",0.4875
"173","173",0.45
"174","174",0.4375
"175","175",0.5375
"176","176",0.475
"177","177",0.4125
"178","178",0.4625
"179","179",0.3375
"180","180",0.4375
"181","181",0.4875
"182","182",0.5125
"183","183",0.4875
"184","184",0.4375
"185","185",0.4625
"186","186",0.4875
"187","187",0.425
"188","188",0.4375
"189","189",0.35
"190","190",0.425
"191","191",0.425
"192","192",0.5125
"193","193",0.4375
"194","194",0.3875
"195","195",0.375
"196","196",0.3875
"197","197",0.5125
"198","198",0.45
"199","199",0.475
"200","200",0.5
